gen;best;avg;worst
564;8117;8391;12275
565;8117;8397;11776
566;8117;8376;11587
567;8117;8413;12690
568;8117;8393;11083
569;8117;8410;11493
570;8117;8387;12493
571;8117;8397;12433
572;8117;8336;10612
573;8117;8330;11090
574;8117;8362;11225
575;8117;8393;13488
576;8117;8378;11758
577;8117;8388;11402
578;8117;8358;11751
579;8117;8369;11345
580;8117;8358;12087
581;8117;8375;11686
582;8117;8330;12441
583;8117;8357;11866
584;8117;8345;10406
585;8117;8382;12527
586;8117;8406;11873
587;8117;8416;12959
588;8117;8377;13975
589;8117;8381;13144
590;8117;8377;11291
591;8117;8354;11481
592;8117;8322;10322
593;8117;8379;11458
594;8117;8374;11436
595;8117;8412;11684
596;8117;8420;11774
597;8117;8383;12224
598;8117;8400;11937
599;8117;8418;11416
600;8117;8426;12823
601;8117;8434;12597
602;8117;8408;11974
603;8117;8390;11552
604;8117;8388;11951
605;8117;8359;11458
606;8117;8409;11593
607;8117;8377;12094
608;8117;8381;10945
609;8117;8409;11253
610;8117;8406;10849
611;8117;8375;12032
612;8117;8372;11615
613;8117;8410;11624
614;8117;8361;10972
615;8117;8374;11864
616;8117;8400;12244
617;8117;8411;11819
618;8117;8358;10853
619;8117;8396;12271
620;8117;8394;11400
621;8117;8386;11321
622;8117;8443;11959
623;8117;8399;11426
624;8117;8354;11407
625;8117;8358;10959
626;8117;8371;11489
627;8117;8373;12067
628;8117;8345;11112
629;8117;8367;11628
630;8117;8367;11533
631;8117;8370;12605
632;8117;8348;11327
633;8117;8349;11369
634;8117;8384;12762
635;8117;8407;11464
636;8117;8403;11663
637;8117;8392;12634
638;8117;8380;11157
639;8117;8387;12117
640;8117;8372;11288
641;8117;8399;11878
642;8117;8383;13712
643;8117;8409;11336
644;8117;8404;12338
645;8117;8381;13597
646;8117;8389;12494
647;8117;8379;10870
648;8117;8400;12772
649;8117;8389;11850
650;8117;8409;11780
651;8117;8375;12696
652;8117;8391;12294
653;8117;8399;12874
654;8117;8341;11650
655;8117;8422;12241
656;8117;8407;12707
657;8117;8388;11951
658;8117;8393;12175
659;8117;8367;12573
660;8117;8378;11676
661;8117;8414;12455
662;8117;8375;11895
663;8117;8390;11488
664;8117;8376;11081
665;8117;8359;11138
666;8117;8365;11581
667;8117;8405;12476
668;8117;8450;13407
669;8117;8397;11855
670;8117;8402;13508
671;8117;8398;11410
672;8117;8370;11776
673;8117;8361;11328
674;8117;8385;11495
675;8117;8389;12181
676;8117;8396;12734
677;8117;8371;11791
678;8117;8337;10929
679;8117;8371;11035
680;8117;8378;12983
681;8117;8388;11950
682;8117;8394;12079
683;8117;8381;11780
684;8117;8400;12571
685;8117;8400;11731
686;8117;8391;11697
687;8117;8396;12568
688;8117;8369;10988
689;8117;8401;11797
690;8117;8409;12237
691;8117;8438;12721
692;8117;8378;14267
693;8117;8479;13095
694;8117;8469;13228
695;8117;8465;14211
696;8117;8442;11269
697;8117;8412;12956
698;8117;8369;10968
699;8117;8344;12796
700;8117;8376;10886
701;8117;8373;11776
702;8117;8404;12126
703;8117;8385;12547
704;8117;8399;11490
705;8117;8380;11250
706;8117;8381;11280
707;8117;8369;11715
708;8117;8378;12445
709;8117;8401;11669
710;8117;8425;12875
711;8117;8437;13041
712;8117;8459;12850
713;8117;8430;12362
714;8117;8401;11432
715;8117;8388;11544
716;8117;8428;11706
717;8117;8385;11786
718;8117;8383;12323
719;8117;8332;11388
720;8117;8339;10849
721;8117;8375;12782
722;8117;8365;10834
723;8117;8367;11880
724;8117;8430;12085
725;8117;8385;11670
726;8117;8404;11268
727;8117;8387;12365
728;8117;8372;11884
729;8117;8400;11767
730;8117;8396;12216
731;8117;8355;12385
732;8117;8375;11013
733;8117;8398;12218
734;8117;8411;12172
735;8117;8417;12491
736;8117;8381;12419
737;8117;8357;11221
738;8117;8349;12713
739;8117;8397;12065
740;8117;8398;11610
741;8117;8381;11599
742;8117;8412;11916
743;8117;8376;11959
744;8117;8398;12358
745;8117;8387;12566
746;8117;8387;11898
747;8117;8374;11537
748;8117;8399;11357
749;8117;8418;11491
750;8117;8354;11214
751;8117;8395;12090
752;8117;8368;11824
753;8117;8383;12626
754;8117;8347;10836
755;8117;8394;14793
756;8117;8386;10790
757;8117;8356;11015
758;8117;8393;11965
759;8117;8379;11556
760;8117;8376;11681
761;8117;8391;11997
762;8117;8421;11332
763;8117;8383;11392
764;8117;8412;11504
765;8117;8399;13432
766;8117;8366;10984
767;8117;8350;11870
768;8117;8399;11295
769;8117;8396;11148
770;8117;8362;11897
771;8117;8361;11920
772;8117;8370;12062
773;8117;8364;11905
774;8117;8364;12377
775;8117;8359;12928
776;8117;8396;12590
777;8117;8398;12545
778;8117;8423;11630
779;8117;8380;11269
780;8117;8363;11015
781;8117;8389;12173
782;8117;8366;12996
783;8117;8377;11470
784;8117;8420;11885
785;8117;8385;11667
786;8117;8373;11982
787;8117;8403;11435
788;8117;8360;10974
789;8117;8385;11358
790;8117;8379;11035
791;8117;8422;12389
792;8117;8433;13630
793;8117;8382;12195
794;8117;8343;11239
795;8117;8357;11177
796;8117;8396;11427
797;8117;8390;11328
798;8117;8401;12283
799;8117;8376;11019
800;8117;8398;12355
801;8117;8392;12169
802;8117;8377;13275
803;8117;8352;12046
804;8117;8339;11389
805;8117;8351;11941
806;8117;8365;11080
807;8117;8350;10693
808;8117;8368;11386
809;8117;8398;11775
810;8117;8381;12092
811;8117;8422;12138
812;8117;8379;12118
813;8117;8376;10959
814;8117;8393;11175
815;8117;8406;12074
816;8117;8403;11292
817;8117;8380;12017
818;8117;8418;11938
819;8117;8363;13124
820;8117;8388;11856
821;8117;8373;11322
822;8117;8353;11300
823;8117;8365;11856
824;8117;8391;13455
825;8117;8396;12350
826;8117;8376;12396
827;8117;8369;11691
828;8117;8363;13097
829;8117;8401;11705
830;8117;8394;11781
831;8117;8438;12419
832;8117;8410;11590
833;8117;8378;10811
834;8117;8374;11510
835;8117;8407;12415
836;8117;8475;12593
837;8117;8405;11866
838;8117;8411;12140
839;8117;8391;12688
840;8117;8373;11341
841;8117;8413;11752
842;8117;8398;11752
843;8117;8381;11815
844;8117;8368;11342
845;8117;8338;10968
846;8117;8391;11392
847;8117;8434;12050
848;8117;8406;11581
849;8117;8393;12557
850;8117;8402;11293
851;8117;8369;11438
852;8117;8372;12317
853;8117;8403;11423
854;8117;8399;11846
855;8117;8400;11782
856;8117;8398;11433
857;8117;8411;12455
858;8117;8396;12902
859;8117;8402;13145
860;8117;8376;12402
861;8117;8384;10952
862;8117;8396;11098
863;8117;8399;11595
864;8117;8373;11215
865;8117;8350;12222
866;8117;8343;10879
867;8117;8398;12230
868;8117;8386;11248
869;8117;8397;12642
870;8117;8384;12086
871;8117;8405;11240
872;8117;8401;12103
873;8117;8391;11655
874;8117;8378;12915
875;8117;8368;11656
876;8117;8358;11781
877;8117;8362;12155
878;8117;8346;10943
879;8117;8393;13198
880;8117;8386;11985
881;8117;8348;11002
882;8117;8356;11448
883;8117;8376;11648
884;8117;8398;12210
885;8117;8396;11112
886;8117;8384;13697
887;8117;8391;12990
888;8117;8372;12732
889;8117;8397;11967
890;8117;8357;11460
891;8117;8362;12082
892;8117;8386;11390
893;8117;8352;10834
894;8117;8392;11650
895;8117;8388;11321
896;8117;8423;12855
897;8117;8367;11148
898;8117;8405;12669
899;8117;8392;11407
900;8117;8400;11372
901;8117;8414;11973
902;8117;8376;12605
903;8117;8363;10849
904;8117;8366;10612
905;8117;8354;10721
906;8117;8372;11476
907;8117;8394;11313
908;8117;8434;12691
909;8117;8453;12118
910;8117;8419;12415
911;8117;8389;12219
912;8117;8415;11846
913;8117;8405;11519
914;8117;8479;12982
915;8117;8466;12636
916;8117;8408;12002
917;8117;8409;11364
918;8117;8412;11312
919;8117;8400;13367
920;8117;8450;12188
921;8117;8430;12932
922;8117;8370;11625
923;8117;8390;11871
924;8117;8414;11638
925;8117;8394;13467
926;8117;8341;11979
927;8117;8349;10757
928;8117;8378;11227
929;8117;8386;12529
930;8117;8380;11725
931;8117;8378;12625
932;8117;8382;11339
933;8117;8351;12215
934;8117;8371;11148
935;8117;8366;11180
936;8117;8374;13200
937;8117;8395;11740
938;8117;8394;11932
939;8117;8382;12542
940;8117;8383;12178
941;8117;8381;10959
942;8117;8393;11028
943;8117;8370;12545
944;8117;8387;11013
945;8117;8338;12083
946;8117;8359;10911
947;8117;8383;11825
948;8117;8429;12371
949;8117;8379;11392
950;8117;8371;12210
951;8117;8351;11523
952;8117;8357;11493
953;8117;8338;11050
954;8117;8374;12057
955;8117;8380;11926
956;8117;8347;11013
957;8117;8355;12953
958;8117;8384;11951
959;8117;8384;12279
960;8117;8378;12048
961;8117;8398;12296
962;8117;8372;11319
963;8117;8411;11770
964;8117;8388;11414
965;8117;8380;12050
966;8117;8392;11360
967;8117;8400;12032
968;8117;8421;11478
969;8117;8440;12103
970;8117;8450;12592
971;8117;8458;12247
972;8117;8387;11547
973;8117;8335;10494
974;8117;8347;10664
975;8117;8334;11637
976;8117;8345;11778
977;8117;8398;12941
978;8117;8370;11615
979;8117;8388;10974
980;8117;8367;11251
981;8117;8391;13805
982;8117;8394;12787
983;8117;8397;12842
984;8117;8430;12028
985;8117;8412;12206
986;8117;8411;12900
987;8117;8366;12428
988;8117;8357;11852
989;8042;8403;12061
990;8042;8428;11753
991;8042;8419;11594
992;8042;8389;11740
993;8042;8321;10894
994;8042;8353;11626
995;8042;8315;11798
996;8042;8286;12608
997;8042;8236;11983
998;8042;8265;11422
999;8042;8239;12347
1000;8042;8275;12738
1001;8042;8253;11269
1002;8042;8257;11712
1003;8042;8281;11219
1004;8042;8297;11551
1005;8042;8305;12337
1006;8042;8292;11115
1007;8042;8301;12810
1008;8042;8293;11127
1009;8042;8302;11921
1010;8042;8264;11918
1011;8042;8226;11230
1012;8042;8276;11592
1013;8042;8254;11572
1014;8042;8283;11595
1015;8042;8336;12585
1016;8042;8269;11522
1017;8042;8286;11758
1018;8042;8292;12990
1019;8042;8254;11439
1020;8042;8261;10999
1021;8042;8262;11432
1022;8042;8248;11886
1023;8042;8271;11294
1024;8042;8272;11619
1025;8042;8240;11245
1026;8042;8234;10989
1027;8042;8242;12660
1028;8042;8281;11688
1029;8042;8267;11608
1030;8042;8230;11926
1031;8042;8243;13357
1032;8042;8253;11919
1033;8042;8292;11796
1034;8042;8280;11705
1035;8042;8293;12187
1036;8042;8287;12709
1037;8042;8275;11479
1038;8042;8242;12583
1039;8042;8277;12168
1040;8042;8301;12511
1041;8042;8271;12157
1042;8042;8254;11531
1043;8042;8281;10842
1044;8042;8286;12174
1045;8042;8255;10914
1046;8042;8237;10939
1047;8042;8271;13947
1048;8042;8280;11778
1049;8042;8286;10876
1050;8042;8280;11535
1051;8042;8283;11545
1052;8042;8248;12414
1053;8042;8236;11390
1054;8042;8253;12564
1055;8042;8253;10836
1056;8042;8261;10928
1057;8042;8290;11953
1058;8042;8272;11686
1059;8042;8286;12456
1060;8042;8260;10805
1061;8042;8266;13773
1062;8042;8301;12021
1063;8042;8264;11790
1064;8042;8295;11648
1065;8042;8291;11664
1066;8042;8286;11330
1067;8042;8286;11612
1068;8042;8289;11742
1069;8042;8285;12499
1070;8042;8262;11808
1071;8042;8290;11414
1072;8042;8282;12561
1073;8042;8271;11969
1074;8042;8249;11166
1075;8042;8251;11645
1076;8042;8233;11617
1077;8042;8335;13438
1078;8042;8272;12706
1079;8042;8248;11102
1080;8042;8217;11056
1081;8042;8200;10787
1082;8042;8247;10728
1083;8042;8236;11272
1084;8042;8259;11429
1085;8042;8249;11637
1086;8042;8245;11761
1087;8042;8247;11761
1088;8042;8260;12093
1089;8042;8263;12161
1090;8042;8317;11121
1091;8042;8320;12974
1092;8042;8250;12206
1093;8042;8270;11162
1094;8042;8304;12355
1095;8042;8259;10548
1096;8042;8274;11252
1097;8042;8259;11448
1098;8042;8265;12253
1099;8042;8248;12553
1100;8042;8276;11593
1101;8042;8274;12192
1102;8042;8245;11638
1103;8042;8265;11738
1104;8042;8306;11992
1105;8042;8310;12025
1106;8042;8310;13364
1107;8042;8263;11603
1108;8042;8247;12464
1109;8042;8292;12633
1110;8042;8273;11473
1111;8042;8245;11807
1112;8042;8226;11571
1113;8042;8228;11754
1114;8042;8274;12776
1115;8042;8248;11672
1116;8042;8255;11572
1117;8042;8262;11376
1118;8042;8287;11736
1119;8042;8241;11028
1120;8042;8280;12113
1121;8042;8280;11617
1122;8042;8300;12195
1123;8042;8286;12462
1124;8042;8226;11371
1125;8042;8213;11357
1126;8042;8205;12303
1127;8042;8222;10716
1128;8042;8247;11593
1129;8042;8254;12036
1130;8042;8254;11428
1131;8042;8258;12137
1132;8042;8255;10408
1133;8042;8281;11445
1134;8042;8288;11987
1135;8042;8246;11941
1136;8042;8267;13354
1137;8042;8279;11114
1138;8042;8253;11545
1139;8042;8286;12294
1140;8042;8243;12314
1141;8042;8277;12033
1142;8042;8290;11864
1143;8042;8284;11556
1144;8042;8277;12091
1145;8042;8324;11443
1146;8042;8315;11838
1147;8042;8267;10819
1148;8042;8251;12282
1149;8042;8258;11713
1150;8042;8283;12139
1151;8042;8262;13941
1152;8042;8282;12142
1153;8042;8300;11349
1154;8042;8273;11843
1155;8042;8256;11692
1156;8042;8281;11153
1157;8042;8257;12293
1158;8042;8254;10536
1159;8042;8215;10546
1160;8042;8225;10628
1161;8042;8282;14443
1162;8042;8244;12034
1163;8042;8276;12732
1164;8042;8254;11625
1165;8042;8254;10392
1166;8042;8235;11292
1167;8042;8252;10668
1168;8042;8275;12232
1169;8042;8242;11808
1170;8042;8224;10694
1171;8042;8253;13495
1172;8042;8240;12096
1173;8042;8300;11305
1174;8042;8270;11154
1175;8042;8276;11981
1176;8042;8276;12814
1177;8042;8220;10933
1178;8042;8255;12007
1179;8042;8247;11903
1180;8042;8214;11823
1181;8042;8239;11125
1182;8042;8238;10758
1183;8042;8303;11558
1184;8042;8275;11492
1185;8042;8289;10977
1186;8042;8334;13814
1187;8042;8305;11388
1188;8042;8307;11926
1189;8042;8279;12947
1190;8042;8251;11478
1191;8042;8268;11538
1192;8042;8278;11120
1193;8042;8258;12403
1194;8042;8288;11706
1195;8042;8279;13333
1196;8042;8297;11988
1197;8042;8264;11725
1198;8042;8248;10822
1199;8042;8232;12037
1200;8042;8246;12202
1201;8042;8256;11045
1202;8042;8268;13315
1203;8042;8263;11765
1204;8042;8276;11172
1205;8042;8253;11614
1206;8042;8230;11593
1207;8042;8237;12671
1208;8042;8246;11132
1209;8042;8229;11019
1210;8042;8253;11378
1211;8042;8288;11843
1212;8042;8287;11398
1213;8042;8287;11905
1214;8042;8305;11411
1215;8042;8300;11841
1216;8042;8293;11283
1217;8042;8332;12525
1218;8042;8323;12532
1219;8042;8279;11639
1220;8042;8281;12348
1221;8042;8281;11589
1222;8042;8263;12143
1223;8042;8261;12344
1224;8042;8266;13147
1225;8042;8256;10792
1226;8042;8261;11325
1227;8042;8269;12186
1228;8042;8250;11677
1229;8042;8295;12276
1230;8042;8253;12046
1231;8042;8263;12384
1232;8042;8286;11582
1233;8042;8273;10994
1234;8042;8266;11626
1235;8042;8230;11843
1236;8042;8219;11582
1237;8042;8253;10915
1238;8042;8258;11995
1239;8042;8244;11027
1240;8042;8272;12405
1241;8042;8275;11857
1242;8042;8261;10950
1243;8042;8252;10988
1244;8042;8259;11328
1245;8042;8234;11218
