num;best;avg;worst
723;39;32933;214
724;39;33011;242
725;39;33055;242
726;39;33098;251
727;39;33111;202
728;39;33188;183
729;39;33232;194
730;39;33277;219
731;39;33322;236
732;39;33334;228
733;39;33411;236
734;39;33419;183
735;39;33495;200
736;39;33539;224
737;39;33582;206
738;39;33625;180
739;39;33670;249
740;39;33716;262
741;39;33760;185
742;39;33805;195
743;39;33849;195
744;39;33893;230
745;39;33939;244
746;39;33950;185
747;39;34028;190
748;39;34075;242
749;39;34120;185
750;39;34164;239
751;39;34211;217
752;39;34256;241
753;39;34299;190
754;39;34310;252
755;39;34390;273
756;39;34402;218
757;39;34480;242
758;39;34524;200
759;39;34533;183
760;39;34611;204
761;39;34655;240
762;39;34666;188
763;39;34748;236
764;39;34796;217
765;39;34807;236
766;39;34886;206
767;39;34895;219
768;39;34939;183
769;39;35018;234
770;39;35061;219
771;39;35107;219
772;39;35117;230
773;39;35197;194
774;39;35206;206
775;39;35285;226
776;39;35331;272
777;39;35376;176
778;39;35420;174
779;39;35465;225
780;39;35510;204
781;39;35557;197
782;39;35568;236
783;39;35611;187
784;39;35690;217
785;39;35735;209
786;39;35779;208
787;39;35824;256
788;39;35869;178
789;39;35912;231
790;39;35921;231
791;39;35966;241
792;39;36011;281
793;39;36055;274
794;39;36099;185
795;39;36181;272
796;39;36225;226
797;39;36270;188
798;39;36316;218
799;39;36362;218
800;39;36372;222
801;39;36419;234
802;39;36464;233
803;39;36545;265
804;39;36589;325
805;39;36596;195
806;39;36679;325
807;39;36724;206
808;39;36732;265
809;39;36777;185
810;39;36822;267
811;39;36904;221
812;39;36948;249
813;39;36995;252
814;39;37038;216
815;39;37082;183
816;39;37089;209
817;39;37133;173
818;39;37175;183
819;39;37218;190
820;39;37300;183
821;39;37345;185
822;39;37388;211
823;39;37431;185
824;39;37474;188
825;39;37518;183
826;39;37561;183
827;39;37605;234
828;39;37651;241
829;39;37659;231
830;39;37740;194
831;39;37783;236
832;39;37829;253
833;39;37837;272
834;39;37919;236
835;39;37964;265
836;39;38008;204
837;39;38053;265
838;39;38098;196
839;39;38143;159
840;39;38187;206
841;39;38232;222
842;39;38277;217
843;39;38321;200
844;39;38327;235
845;39;38409;272
846;39;38455;242
847;39;38462;242
848;39;38507;272
849;39;38590;242
850;39;38635;225
851;39;38680;224
852;39;38686;276
853;39;38771;206
854;39;38816;233
855;39;38822;186
856;39;38906;217
857;39;38912;197
858;39;38995;183
859;39;39040;183
860;39;39084;180
861;39;39089;212
862;39;39171;205
863;39;39215;190
864;39;39220;265
865;39;39264;275
866;39;39348;236
867;39;39395;269
868;39;39441;236
869;39;39487;241
870;39;39532;188
871;39;39576;188
872;39;39620;194
873;39;39665;214
874;39;39709;183
875;39;39754;190
876;39;39799;261
877;39;39845;244
878;39;39889;171
879;39;39894;212
880;39;39978;197
881;39;39982;203
882;39;40065;254
883;39;40068;156
884;39;40113;231
885;39;40197;191
886;39;40203;190
887;39;40288;248
888;39;40335;223
889;39;40380;190
890;39;40425;234
891;39;40470;208
892;39;40516;234
893;39;40562;193
894;39;40606;238
895;39;40653;215
896;39;40658;265
897;39;40745;220
898;39;40750;238
899;39;40837;244
900;39;40882;233
901;39;40926;190
902;39;40969;200
903;39;40974;236
904;39;41061;252
905;39;41105;245
906;39;41149;197
907;39;41193;205
908;39;41238;242
909;39;41284;242
910;39;41328;272
911;39;41372;282
912;39;41418;223
913;39;41423;237
914;39;41510;277
915;39;41554;221
916;39;41558;231
917;39;41644;167
918;39;41688;204
919;39;41692;231
920;39;41737;211
921;39;41824;256
922;39;41870;202
923;39;41873;237
924;39;41916;172
925;39;42004;208
926;39;42007;242
927;39;42095;231
928;39;42140;183
929;39;42143;242
930;39;42230;224
931;39;42233;219
932;39;42319;181
933;39;42364;256
934;39;42409;193
935;39;42454;186
936;39;42459;199
937;39;42546;231
938;39;42548;231
939;39;42593;208
940;39;42637;226
941;39;42723;206
942;39;42766;206
943;39;42811;183
944;39;42856;218
945;39;42901;217
946;39;42945;183
947;39;42988;199
948;39;43031;190
949;39;43076;185
950;39;43121;249
951;39;43167;231
952;39;43168;220
953;39;43213;222
954;39;43299;192
955;39;43301;190
956;39;43350;259
957;39;43397;272
958;39;43487;277
959;39;43534;272
960;39;43535;236
961;39;43624;272
962;39;43626;272
963;39;43672;242
964;39;43762;278
965;39;43806;197
966;39;43851;248
967;39;43854;274
968;39;43943;197
969;39;43945;249
970;39;44032;236
971;39;44079;190
972;39;44125;293
973;39;44172;224
974;39;44217;213
975;39;44262;267
976;39;44306;258
977;39;44308;288
978;39;44397;204
979;39;44397;195
980;39;44486;231
981;39;44532;275
982;39;44576;288
983;39;44620;241
984;39;44664;226
985;39;44708;272
986;39;44753;226
987;39;44796;236
988;39;44840;183
989;39;44884;220
990;39;44929;272
991;39;44973;249
992;39;44972;164
993;39;45062;216
994;39;45108;238
995;39;45153;214
996;39;45154;268
997;39;45244;249
998;39;45243;197
999;39;45332;183
