gen;best;avg;worst
648;8027;23512;33099
649;8027;22862;32675
650;8027;23616;32285
651;8027;22690;32146
652;8027;23691;33349
653;8027;23283;32676
654;8027;22627;31789
655;8027;22289;31191
656;8027;21249;30723
657;8027;21102;30024
658;8027;21320;32078
659;8027;21773;32288
660;8027;21119;32240
661;8027;21840;31842
662;8027;22604;32576
663;8027;22346;32306
664;8027;22147;32757
665;8027;22561;32052
666;8027;22356;31745
667;8027;21611;30827
668;8027;22373;32831
669;8027;22640;33768
670;8027;22118;33862
671;8027;21323;30989
672;8027;21178;30623
673;8027;21483;31511
674;8027;21524;30429
675;8027;21708;31935
676;8027;22577;31787
677;8027;23408;32978
678;8027;22891;34122
679;8027;22781;34390
680;8027;20972;30968
681;8027;22354;31288
682;8027;22231;32415
683;8027;22341;32027
684;8027;22172;31473
685;8027;22228;30602
686;8027;23070;33267
687;8027;23169;32576
688;8027;22822;31467
689;8027;21861;30643
690;8027;22196;31456
691;8027;22084;32123
692;8027;22759;31524
693;8027;22426;32743
694;8027;22015;31693
695;8027;21479;30335
696;8027;20169;28192
697;8027;20898;29718
698;8027;20910;29400
699;8027;21818;31077
700;8027;21951;31624
701;8027;21806;31042
702;8027;21104;31316
703;8027;21898;32428
704;8027;22156;33148
705;8027;21991;31808
706;8027;20735;30435
707;8027;20979;28852
708;8027;20982;29034
709;8027;20801;30622
710;8027;20430;27993
711;8027;20854;29240
712;8027;21832;31014
713;8027;21489;31021
714;8027;21689;31866
715;8027;22184;33112
716;8027;21950;31440
717;8027;21901;31932
718;8027;21942;31517
719;8027;22104;32285
720;8027;22463;32925
721;8027;21863;31651
722;8027;22186;33160
723;8027;22553;32997
724;8027;22141;33420
725;8027;21341;33316
726;8027;21743;31713
727;8027;22036;31514
728;8027;22009;31305
729;8027;22618;32661
730;8027;22692;31592
731;8027;22380;31836
732;8027;22448;31984
733;8027;22464;31721
734;8027;21904;31019
735;8027;22129;31290
736;8027;20998;29624
737;8027;21290;30505
738;8027;21815;31479
739;8027;21543;31434
740;8027;21745;31979
741;8027;21600;30707
742;8027;21036;30637
743;8027;21511;32190
744;8027;21473;33026
745;8027;22176;32282
746;8027;22349;33740
747;8027;21442;32217
748;8027;21373;32624
749;8027;22114;31823
750;8027;22203;31941
751;8027;22247;31611
752;8027;21714;31006
753;8027;21822;31485
754;8027;22891;32225
755;8027;22319;33112
756;8027;21333;31710
757;8027;21603;31838
758;8027;21375;31162
759;8027;21564;31569
760;8027;21634;33070
761;8027;22323;32829
762;8027;21674;32961
763;8027;21309;32154
764;8027;21307;31483
765;8027;20746;32198
766;8027;21268;32866
767;8027;21458;33753
768;8027;22055;33196
769;8027;21404;32431
770;8027;21798;31817
771;8027;21812;33138
772;8027;21950;33590
773;8027;22647;34631
774;8027;21542;34123
775;8027;20269;31865
776;8027;20641;30930
777;8027;21595;32957
778;8027;21040;32093
779;8027;21518;31475
780;8027;21694;31763
781;8027;22141;32926
782;8027;21886;33761
783;8027;20920;30950
784;8027;20833;32045
785;8027;22221;33167
786;8027;22622;33489
787;8027;21847;33917
788;8027;22260;33260
789;8027;21369;30955
790;8027;21886;31597
791;8027;21559;32772
792;8027;22579;32132
793;8027;21197;30342
794;8027;21779;30683
795;8027;21435;30941
796;8027;21683;32372
797;8027;21814;32022
798;8027;21021;31124
799;8027;21292;30770
800;8027;21406;31362
801;8027;21091;30456
802;8027;21340;32030
803;8027;22741;34129
804;8027;22363;33181
805;8027;22286;32605
806;8027;21755;31089
807;8027;20901;29724
808;8027;21001;30538
809;8027;22221;31386
810;8027;22727;32090
811;8027;22096;32749
812;8027;22524;32545
813;8027;21323;30504
814;8027;21179;29234
815;8027;20694;28904
816;8027;20654;29861
817;8027;20498;29315
818;8027;20839;31907
819;8027;21873;32659
820;8027;21256;32481
821;8027;20893;33600
822;8027;20610;31272
823;8027;20910;32719
824;8027;21647;32513
825;8027;21783;32713
826;8027;21134;32587
827;8027;20860;31534
828;8027;20905;31365
829;8027;21253;30610
830;8027;21002;30023
831;8027;21912;32843
832;8027;22189;33320
833;8027;23770;34815
834;8027;22590;34793
835;8027;22374;34053
836;8027;21958;32620
837;8027;21199;32498
838;8027;21169;32467
839;8027;20886;31328
840;8027;20913;32086
841;8027;20102;30056
842;8027;20346;30249
843;8027;21240;31418
844;8027;21764;32536
845;8027;20834;31715
846;8027;21840;31906
847;8027;21313;30940
848;8027;21587;32688
849;8027;21406;32228
850;8027;21571;32391
851;8027;22370;32497
852;8027;22042;32955
853;8027;21925;31949
854;8027;21850;31499
855;8027;21670;30981
856;8027;21984;32650
857;8027;23035;32443
858;8027;21772;31087
859;8027;22349;32293
860;8027;23561;32550
861;8027;23003;31913
862;8027;22260;32935
863;8027;22866;33459
864;8027;22782;32046
865;8027;21139;31404
866;8027;21282;30236
867;8027;20996;30432
868;8027;21019;30774
869;8027;21133;30132
870;8027;21566;31829
871;8027;20745;30600
872;8027;20632;31549
873;8027;21500;31763
874;8027;21987;32880
875;8027;20756;32070
876;8027;21274;31040
877;8027;21027;31460
878;8027;22107;32688
879;8027;22124;32848
880;8027;22246;31774
881;8027;21755;30978
882;8027;20816;30399
883;8027;20973;30805
884;8027;21867;31520
885;8027;20956;31114
886;8027;20719;29793
887;8027;21500;30649
888;8027;21248;32236
889;8027;21444;31981
890;8027;20656;32087
